Feb 21, 0310 PST
Current validators of subnet 18 sorted by their stakes:
Rank: 238, UID: 194, Stake: 0.009999999776482582 tao
Rank: 239, UID: 203, Stake: 0.009999999776482582 tao
Rank: 240, UID: 212, Stake: 0.009999999776482582 tao
Rank: 241, UID: 216, Stake: 0.009999999776482582 tao
Rank: 242, UID: 219, Stake: 0.009999999776482582 tao
Rank: 243, UID: 227, Stake: 0.009999999776482582 tao
Rank: 244, UID: 232, Stake: 0.009999999776482582 tao
Rank: 245, UID: 235, Stake: 0.009999999776482582 tao
Rank: 246, UID: 237, Stake: 0.009999999776482582 tao
Rank: 247, UID: 238, Stake: 0.009999999776482582 tao
Rank: 248, UID: 239, Stake: 0.009999999776482582 tao
Rank: 249, UID: 240, Stake: 0.009999999776482582 tao
Rank: 250, UID: 241, Stake: 0.009999999776482582 tao
Rank: 251, UID: 246, Stake: 0.009999999776482582 tao
Rank: 252, UID: 252, Stake: 0.009999999776482582 tao
Rank: 253, UID: 152, Stake: 0.0 tao
Rank: 254, UID: 175, Stake: 0.0 tao
Rank: 255, UID: 200, Stake: 0.0 tao
Rank: 256, UID: 220, Stake: 0.0 tao
